1-Bromobutane,1-Octanol
298.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1030,5.173,-4,1.0479,3.1902,400
0.1959,5.025,35,1.1266,2.0884,595
0.2652,4.854,15,1.1956,1.7094,678
0.3506,4.598,-16,1.2902,1.4385,726
0.4481,4.258,-27,1.4096,1.2579,725
0.5532,3.809,-10,1.5520,1.1419,669
0.6401,3.337,6,1.6807,1.0818,588
0.7349,2.681,4,1.8329,1.0398,469
0.8545,1.656,16,2.0439,1.0107,280
0.9138,1.029,1,2.1566,1.0036,172
