1-Bromobutane,1-Decanol
298.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.0998,5.232,36,1.0483,2.9052,369
0.1938,5.021,27,1.1254,1.8959,543
0.3009,4.713,-2,1.2252,1.4561,632
0.4345,4.210,-21,1.3600,1.2126,639
0.4916,3.945,-28,1.4200,1.1532,616
0.5660,3.558,-24,1.5003,1.0978,567
0.6519,3.057,3,1.5955,1.0551,490
0.7098,2.660,10,1.6610,1.0353,426
0.7117,2.646,10,1.6632,1.0348,424
0.7805,2.124,21,1.7422,1.0185,338
0.7909,2.023,6,1.7543,1.0166,324
0.9008,1.035,8,1.8838,1.0033,163
