1-Bromobutane,1-Octanol
303.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1031,6.607,0,1.0461,3.1182,397
0.1960,6.403,46,1.1228,2.0614,592
0.2653,6.179,20,1.1904,1.6936,675
0.3508,5.852,-14,1.2830,1.4292,724
0.4482,5.410,-29,1.3998,1.2525,722
0.5534,4.808,-32,1.5389,1.1389,667
0.6403,4.218,3,1.6642,1.0800,586
0.7350,3.385,3,1.8118,1.0389,468
0.8547,2.092,25,2.0158,1.0104,279
0.9138,1.315,20,2.1243,1.0035,172
