1-Bromobutane,1-Octanol
278.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1029,1.763,-3,1.0584,3.5858,422
0.1957,1.728,12,1.1473,2.2322,619
0.2650,1.687,13,1.2241,1.7942,702
0.3503,1.600,-6,1.3290,1.4886,750
0.4477,1.491,-12,1.4625,1.2874,747
0.5528,1.339,-12,1.6240,1.1586,690
0.6397,1.191,3,1.7723,1.0918,607
0.7345,0.964,1,1.9507,1.0449,485
0.8543,0.603,6,2.2038,1.0121,290
0.9136,0.384,8,2.3418,1.0041,179
