1-Bromobutane,1-Octanol
313.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1032,10.440,23,1.0413,2.9410,384
0.1962,10.057,79,1.1127,1.9982,577
0.2656,9.659,21,1.1763,1.6580,660
0.3512,9.119,-30,1.2640,1.4092,709
0.4488,8.413,-41,1.3746,1.2413,709
0.5540,7.455,-39,1.5061,1.1328,655
0.6409,6.502,-7,1.6240,1.0765,576
0.7355,5.209,3,1.7622,1.0372,460
0.8550,3.212,41,1.9521,1.0099,275
0.9140,2.028,41,2.0524,1.0033,169
