1-Bromobutane,1-Decanol
288.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.0998,3.133,23,1.0582,3.0621,389
0.1937,3.025,17,1.1426,1.9259,562
0.3007,2.840,-10,1.2482,1.4626,645
0.4343,2.546,-17,1.3882,1.2136,646
0.4913,2.393,-15,1.4501,1.1535,621
0.5657,2.173,1,1.5326,1.0977,571
0.6517,1.859,6,1.6299,1.0549,491
0.7096,1.601,-6,1.6967,1.0351,426
0.7114,1.595,-5,1.6988,1.0346,424
0.7802,1.277,2,1.7792,1.0184,337
0.7907,1.237,14,1.7915,1.0164,323
0.9007,0.644,21,1.9226,1.0033,163
