1-Bromobutane,1-Decanol
313.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1000,10.518,69,1.0416,2.6644,351
0.1942,10.079,100,1.1113,1.8072,521
0.3014,9.339,-22,1.2026,1.4151,608
0.4354,8.287,-48,1.3256,1.1935,615
0.4924,7.738,-61,1.3799,1.1393,593
0.5667,6.970,-32,1.4518,1.0888,546
0.6527,5.920,-17,1.5365,1.0498,471
0.7104,5.116,-18,1.5940,1.0319,410
0.7126,5.136,33,1.5961,1.0313,407
0.7812,4.077,25,1.6650,1.0166,324
0.7914,3.930,44,1.6753,1.0149,311
0.9010,2.034,68,1.7866,1.0029,156
