1-Bromobutane,1-Decanol
308.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.0999,8.423,67,1.04337,2.73896,356
0.1940,8.041,45,1.11526,1.83672,527
0.3011,7.522,6,1.20920,1.42924,616
0.4350,6.666,-45,1.33603,1.20028,623
0.4920,6.241,-45,1.39220,1.14426,600
0.5664,5.626,-26,1.46694,1.09204,553
0.6524,4.796,-7,1.5552,1.0517,478
0.7102,4.148,-10,1.6154,1.0331,415
0.7122,4.158,25,1.6175,1.0326,413
0.7809,3.312,24,1.6899,1.0173,329
0.7912,3.176,23,1.7008,1.0155,315
0.9009,1.644,45,1.8183,1.0031,159
