1-Bromobutane,1-Octanol
308.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1031,8.355,24,1.0434,3.0279,390
0.1961,8.062,65,1.1172,2.0314,584
0.2654,7.751,15,1.1827,1.6774,668
0.3510,7.333,-23,1.2729,1.4205,717
0.4485,6.771,-38,1.3867,1.2478,716
0.5537,6.016,-34,1.5222,1.1364,662
0.6406,5.257,-6,1.6441,1.0786,582
0.7352,4.228,11,1.7876,1.0382,465
0.8548,2.612,38,1.9854,1.0102,277
0.9139,1.633,20,2.0904,1.0034,171
