1-Bromobutane,1-Decanol
293.15,nan
0.0998,4.068,34,1.0518,2.9967,378
0.1938,3.917,29,1.1321,1.9241,553
0.3008,3.677,-2,1.2351,1.4677,641
0.4344,3.272,-38,1.3739,1.2177,646
0.4914,3.085,-25,1.4358,1.1568,623
0.5658,2.802,-5,1.5187,1.1001,574
0.6518,2.405,8,1.6171,1.0564,495
0.7097,2.088,6,1.6849,1.0362,431
0.7116,2.077,6,1.6871,1.0356,428
0.7803,1.665,11,1.7692,1.0190,341
0.7908,1.593,7,1.7818,1.0170,327
0.9007,0.821,12,1.9165,1.0034,165
