1-Bromobutane,1-Octanol
323.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1034,15.932,26,1.0369,2.7506,368
0.1967,15.249,90,1.1028,1.9231,557
0.2661,14.637,41,1.1621,1.6140,638
0.3520,13.779,-23,1.2443,1.3835,688
0.4497,12.631,-67,1.3478,1.2266,688
0.5550,11.159,-45,1.4702,1.1247,636
0.6418,9.687,-4,1.5793,1.0717,559
0.7362,7.697,-23,1.7062,1.0348,446
0.8555,4.753,69,1.8789,1.0093,266
0.9143,3.006,67,1.9693,1.0031,164
