1-Bromobutane,1-Decanol
303.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.0998,6.689,75,1.0440,2.8194,359
0.1939,6.331,-6,1.1173,1.8767,533
0.3010,5.986,16,1.2139,1.4511,624
0.4347,5.337,-13,1.3456,1.2115,633
0.4918,4.978,-42,1.4045,1.1527,611
0.5661,4.500,-26,1.4835,1.0977,564
0.6521,3.858,2,1.5774,1.0550,488
0.7100,3.342,-4,1.6421,1.0353,425
0.7120,3.346,18,1.6443,1.0348,422
0.7806,2.668,14,1.7225,1.0185,337
0.7910,2.564,18,1.7344,1.0166,323
0.9008,1.316,19,1.8626,1.0033,163
