1-Bromobutane,1-Decanol
318.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1000,13.048,95,1.0379,2.5777,339
0.1944,12.412,83,1.1038,1.7843,508
0.3016,11.532,-3,1.1917,1.4080,597
0.4358,10.198,-52,1.3114,1.1914,606
0.4928,9.514,-69,1.3644,1.1381,585
0.5670,8.566,-34,1.4347,1.0882,540
0.6531,7.266,-20,1.5179,1.0495,466
0.7116,6.290,7,1.5752,1.0315,405
0.7130,6.286,27,1.5766,1.0312,404
0.7816,4.978,12,1.6445,1.0165,321
0.7916,4.800,32,1.6544,1.0149,308
0.9012,2.501,89,1.7641,1.0029,155
