1-Bromobutane,1-Decanol
283.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.0997,2.389,26,1.0585,3.1684,391
0.1937,2.301,13,1.1444,1.9782,567
0.3007,2.172,-1,1.2532,1.4913,654
0.4342,1.913,-50,1.3996,1.2283,658
0.4912,1.833,-15,1.4652,1.1645,634
0.5656,1.697,25,1.5534,1.1051,583
0.6516,1.469,37,1.6585,1.0593,503
0.7095,1.256,10,1.7314,1.0381,438
0.7113,1.228,-12,1.7337,1.0375,436
0.7801,0.977,-16,1.8222,1.0200,347
0.7906,0.940,-13,1.8359,1.0179,333
0.9006,0.508,20,1.9824,1.0036,168
