1-Bromobutane,1-Octanol
288.15,nan
x2,PkPa,dPPa,y1,y2,GEJ
0.1030,3.101,9,1.0557,3.4104,419
0.1958,3.018,21,1.1415,2.1558,615
0.2651,2.920,3,1.2153,1.7451,697
0.3504,2.777,-13,1.3157,1.4577,743
0.4478,2.592,-8,1.4420,1.2683,739
0.5530,2.310,-14,1.5930,1.1475,681
0.6399,2.038,5,1.7297,1.0850,598
0.7346,1.639,-1,1.8921,1.0414,477
0.8544,1.021,14,2.1184,1.0111,285
0.9137,0.636,4,2.2400,1.0037,175
