Butanenitrile,2-Butanol
323.15,nan
x2,PkP,y2,gamma1,gamma2,GEJ
0.0000,9.013,0.0000,1.0000,2.6046,0
0.0586,9.937,0.1450,1.0038,2.2953,140
0.0839,10.239,0.1918,1.0076,2.1846,195
0.1246,10.787,0.2513,1.0162,2.0294,275
0.2202,11.539,0.3579,1.0481,1.7485,429
0.2495,11.724,0.3836,1.0610,1.6801,467
0.3613,12.226,0.4666,1.1248,1.4708,576
0.3940,12.376,0.4859,1.1483,1.4215,598
0.4456,12.463,0.5190,1.1908,1.3519,621
0.4682,12.500,0.5326,1.2117,1.3242,628
0.5695,12.595,0.5909,1.3276,1.2168,628
0.5701,12.635,0.5894,1.3285,1.2163,628
0.6283,12.579,0.6251,1.4165,1.1652,606
0.6962,12.530,0.6648,1.5470,1.1141,558
0.7107,12.543,0.6720,1.5797,1.1043,545
0.7802,12.376,0.7195,1.7674,1.0629,464
0.7927,12.384,0.7261,1.8075,1.0564,447
0.8214,12.304,0.7475,1.9087,1.0428,403
0.8496,12.190,0.7715,2.0221,1.0310,354
0.9037,11.856,0.8289,2.2879,1.0133,246
0.9311,11.644,0.8640,2.4527,1.0070,184
1.0000,10.720,1.0000,2.9908,1.0000,0
