Butanenitrile,2-Butanol
298.15,nan
x2,PkP,y2,gamma1,gamma2,GEJ
0.0000,2.689,0.0000,1.0000,3.3797,0
0.0589,2.914,0.1345,1.0048,2.8828,166
0.0842,3.025,0.1742,1.0095,2.7111,230
0.1255,3.098,0.2311,1.0205,2.4716,326
0.2206,3.293,0.3186,1.0599,2.0601,508
0.2500,3.296,0.3435,1.0761,1.9613,554
0.3618,3.393,0.4099,1.1565,1.6649,687
0.3944,3.406,0.4267,1.1866,1.5960,714
0.4459,3.392,0.4550,1.2419,1.4988,745
0.4685,3.386,0.4664,1.2697,1.4600,754
0.5696,3.364,0.5120,1.4283,1.3095,761
0.5702,3.392,0.5081,1.4294,1.3087,761
0.6284,3.357,0.5345,1.5561,1.2366,738
0.6964,3.290,0.5688,1.7531,1.1639,685
0.7108,3.328,0.5672,1.8036,1.1500,669
0.7804,3.173,0.6193,2.1076,1.0907,574
0.7929,3.201,0.6184,2.1750,1.0814,553
0.8216,3.114,0.6466,2.3486,1.0618,500
0.8498,3.062,0.6693,2.5492,1.0448,441
0.9038,2.926,0.7266,3.0421,1.0193,308
0.9312,2.822,0.7691,3.3640,1.0101,230
1.0000,2.306,1.0000,4.4924,1.0000,0
