Butanenitrile,2-Butanol
308.15,nan
x2,PkP,y2,gamma1,gamma2,GEJ
0.0000,4.486,0.0000,1.0000,3.1241,0
0.0587,4.941,0.1408,1.0047,2.6682,159
0.0842,5.068,0.1853,1.0094,2.5102,221
0.1252,5.281,0.2417,1.0201,2.2945,311
0.2204,5.610,0.3362,1.0578,1.9255,482
0.2500,5.632,0.3626,1.0732,1.8376,525
0.3617,5.853,0.4338,1.1471,1.5788,648
0.3944,5.889,0.4523,1.1744,1.5191,672
0.4458,5.928,0.4800,1.2235,1.4353,699
0.4685,5.909,0.4942,1.2481,1.4019,707
0.5696,5.905,0.5458,1.3861,1.2725,712
0.5702,5.909,0.5457,1.3871,1.2718,712
0.6284,5.852,0.5774,1.4956,1.2094,689
0.6965,5.802,0.6116,1.6630,1.1459,639
0.7107,5.790,0.6188,1.7050,1.1339,624
0.7804,5.664,0.6625,1.9596,1.0815,535
0.7927,5.650,0.6694,2.0148,1.0734,516
0.8217,5.574,0.6917,2.1601,1.0557,466
0.8496,5.493,0.7154,2.3236,1.0407,412
0.9039,5.281,0.7739,2.7286,1.0175,287
0.9311,5.136,0.8130,2.9877,1.0093,215
1.0000,4.440,1.0000,3.8920,1.0000,0
