Butanenitrile,2-Butanol
293.15,nan
x2,PkP,y2,gamma1,gamma2,GEJ
0.0000,2.035,0.0000,1.0000,3.8677,0
0.0589,2.230,0.1363,1.0060,3.1601,179
0.0842,2.288,0.1760,1.0119,2.9287,247
0.1255,2.349,0.2284,1.0252,2.6184,348
0.2206,2.466,0.3099,1.0710,2.1212,535
0.2500,2.476,0.3313,1.0891,2.0090,581
0.3618,2.533,0.3941,1.1751,1.6892,713
0.3944,2.549,0.4089,1.2063,1.6181,739
0.4459,2.546,0.4346,1.2626,1.5192,769
0.4685,2.534,0.4469,1.2907,1.4801,778
0.5696,2.496,0.4953,1.4507,1.3287,785
0.5702,2.504,0.4939,1.4518,1.3279,785
0.6284,2.481,0.5189,1.5810,1.2544,762
0.6964,2.452,0.5470,1.7862,1.1790,709
0.7108,2.414,0.5599,1.8397,1.1644,693
0.7803,2.365,0.5933,2.1686,1.1012,598
0.7929,2.362,0.5980,2.2439,1.0910,576
0.8216,2.308,0.6218,2.4389,1.0695,522
0.8498,2.284,0.6385,2.6687,1.0508,462
0.9038,2.166,0.6963,3.2518,1.0221,325
0.9312,2.035,0.7560,3.6457,1.0117,243
1.0000,1.632,1.0000,5.0966,1.0000,0
